lemma,BH_enriched,BR_enriched,CC_enriched,DC_enriched,DS_enriched,ED_enriched,GE_enriched,HT_enriched,LD_enriched,MC_enriched,NN_enriched,OCS_enriched,OMF_enriched,OT_enriched,PP_enriched,TTC_enriched
say,22.500650307812364,13.526477359938605,14.858327574291637,25.056890012642224,20.34267678665364,16.67233752977203,25.70154246422598,22.909915748541803,20.67838954549822,22.10475732820759,18.996006845407873,15.893741557856822,20.04596527068437,15.927367055771724,21.315690455286592,14.91788321167883
cry,1.5173848955172116,4.470452801227935,3.8700760193503805,1.9974715549936788,2.329600961899752,1.9394351820347058,1.5052964133060769,1.6202203499675956,1.883347746708946,5.005606279032516,2.973474044495151,2.836560108059433,1.940755873340143,2.814526588845655,0.8842342907312178,1.893248175182482
return,3.6070406659151995,2.4558710667689945,1.9350380096751902,2.9751369574378423,3.41925302472383,2.4838380401497107,2.2300687604534475,4.1477640959170445,3.2958585567406553,2.2825564632388273,1.7897889332572734,2.780279153534444,3.1239359891045284,0.6095979247730221,0.269660102847109,1.3914233576642336
reply,1.5433972080117921,1.5828856485034535,1.3130615065653075,2.0564686051411716,1.645750356954986,1.633208574345015,1.523880319643189,1.069345430978613,1.181896800230614,1.6418388595226656,5.13405590416429,2.5101305718144977,1.974804221995233,6.536964980544748,6.666248588987835,0.5930656934306568
ask,1.8728864996098153,0.6619339984650805,1.38217000691085,1.7951959544879899,1.3150973172014728,1.87138482477033,2.694666418881249,2.0090732339598185,1.5854713173825312,1.521704308825885,1.2549914432401599,0.6416028815848717,2.4599931903302688,1.3748378728923476,0.25084660729963626,1.824817518248175
voice,1.0491632706147578,1.7267843438219495,1.4512785072563925,1.2473662031184156,1.412790260765011,1.2929567880231372,1.0964504738896117,1.425793907971484,1.2779859709810704,1.1613006567355437,1.3762122076440388,1.35074290859973,1.0044262853251618,1.4526588845654993,1.015928759563527,1.8020072992700729
tell,2.0723142287349345,0.8154259401381427,0.6219765031098825,1.9384745048461862,0.774028706695724,0.918679823069071,1.9327262590596541,1.2961762799740766,1.1338522148553858,0.8249239147845586,0.44209925841414716,0.9905447996398019,0.902281239359891,0.6744487678339819,0.2633889376646181,0.8667883211678832
answer,0.7716986040058961,1.5636991557943207,0.691085003455425,1.0619469026548671,1.0220184865108588,1.2929567880231372,1.3194573499349562,1.3285806869734285,0.9801095416546555,1.0651930161781196,0.6845407872219054,0.7429085997298513,1.2342526387470207,0.4539559014267186,0.20067728583970904,1.4598540145985401
laugh,0.893089395647273,0.5372217958557176,2.1423635107118177,1.3400758533501895,0.4508905087547907,0.6805035726437564,0.9477792231927151,0.5832793259883344,0.7398866147785145,0.9851033157135992,0.7201939532230462,0.5740657361548852,1.038474633980252,0.7392996108949416,0.7274551611689453,0.479014598540146
speak,0.9191017081418538,0.9497313891020721,0.55286800276434,0.7922461019806152,0.8566919666341023,1.0207553589656346,0.8176918788329306,0.9397278029812054,0.9897184587297011,0.7928880345987506,0.7487164860239589,0.7541647906348491,0.7490636704119851,0.9987029831387807,0.4828797190517998,1.072080291970803
repeat,0.7977109165004768,0.4604758250191865,0.27643400138217,0.5309734513274336,0.6988802885699256,0.9867301803334467,0.8548596915071548,0.8425145819831497,0.8263668684539252,0.7208073041806823,0.5347974900171135,0.3714542998649257,0.9874021109976165,0.2723735408560311,0.3135582591245453,0.958029197080292
inquire,0.56360010404925,0.19186492709132769,0.414651002073255,0.7079646017699115,0.6688209213196062,0.4083021435862538,0.1486712506968965,0.16202203499675957,0.403574517151917,0.5766458433445458,0.9341129492298917,0.36019810895992793,0.5617977528089888,1.5045395590142672,2.1196538316819264,0.2509124087591241
word,0.4768923957339808,0.6043745203376822,0.3455425017277125,0.539401601348504,0.6011873450063876,0.47635250085062947,0.8176918788329306,0.6156837329876863,0.701450946478332,0.6727534839019702,0.434968625213919,0.5177847816298964,0.6469186244467143,0.8171206225680935,0.5267778753292361,0.9352189781021899
sound,0.5202462498916154,0.7194934765924789,0.7601935038009675,0.4804045512010114,0.5034944014428496,0.5784280367471929,0.39026203307935325,0.5832793259883344,0.5765350245027385,0.4324843825084094,0.4492298916143753,0.6978838361098605,0.4256043581886279,0.7003891050583658,0.4515238931393453,0.8211678832116789
add,0.42486777074481924,0.7386799693016117,0.138217000691085,0.337126000842815,0.42834598331705115,0.748553929908132,0.594685002787586,0.356448476992871,0.5765350245027385,0.8489508249239148,0.49914432401597264,0.6078343088698784,0.6298944501191692,0.42801556420233466,0.4828797190517998,0.5702554744525548
whisper,0.5982831873753577,0.6811204911742134,0.138217000691085,0.5225453013063632,0.5936725031938077,0.27220142905750255,0.3716781267422412,0.5184705119896306,0.4324012683770539,0.6006727534839019,0.3993154592127781,0.585321927059883,0.37453183520599254,0.6355382619974059,0.6584723441615452,0.7755474452554745
observe,0.7283447498482615,0.15349194167306215,0.55286800276434,0.5225453013063632,0.676335763132186,0.374276964954066,0.35309422040512917,0.45366169799092676,0.45161910252714516,1.1933365369213518,0.5704506560182544,0.24763619990995048,0.3830439223697651,0.4020752269779507,0.41389690204439983,0.2965328467153284
